Client.ID,Full_date,Weekday,Escherichia.coli,Drek_Prediction,GBM_2006_pred,GBM_2007_pred,GBM_2008_pred,GBM_2009_pred,GBM_2010_pred,GBM_2011_pred,GBM_2012_pred,GBM_2013_pred,GBM_2014_pred,RF_2006_pred,RF_2007_pred,RF_2008_pred,RF_2009_pred,RF_2010_pred,RF_2011_pred,RF_2012_pred,RF_2013_pred,RF_2014_pred,mean_GBM,max_GBM,min_GBM,mean_RF,max_RF,min_RF,expected,predictedEPA,predict_RF,predict_GBM,predict_Combo
Albion,2015-05-19,Tuesday,18.33030277982336,,156.0650628338861,188.9878490234978,136.37394562289734,131.86725188867655,220.04857727256996,177.71169074932953,136.73535498360724,153.5712740871428,180.5802983663653,0.28670298936412547,0.26006332515764696,0.23182143986297424,0.2970758577512458,0.2767381494422485,0.29200655428748223,0.2591308301534008,0.26507818703410735,0.2671020472556474,164.66014498088583,220.04857727256996,131.86725188867655,0.2706354867009865,0.2970758577512458,0.23182143986297424,False,False,False,False,False
Albion,2015-05-20,Wednesday,24.08318915758459,,42.30375961274121,50.83640001954992,66.30073729161516,53.662981123143425,38.442981854387675,36.53352083814255,37.43982523792639,79.02438168633516,40.58707601368393,0.17516094129506907,0.17615130165024423,0.2369300000896259,0.20481706810011235,0.15765091985077914,0.08961013487093973,0.14658978697152866,0.18690742048466363,0.16878302781935003,49.45907374194727,79.02438168633516,36.53352083814255,0.1714000667924792,0.2369300000896259,0.08961013487093973,False,False,False,False,False
Albion,2015-05-21,Thursday,6.324555320336759,,43.06684805695603,62.547736087898336,44.31823777043115,48.04918893407507,61.55495519132901,25.254772041052064,26.925521747465243,62.178561782314524,77.97779906259196,0.18522155202198973,0.19996048642147135,0.19776104300306013,0.2377846721159271,0.17214888499613332,0.12863903525290563,0.17316421182308403,0.20325183985065415,0.17801209802475262,50.20818007490149,77.97779906259196,25.254772041052064,0.18621598038999757,0.2377846721159271,0.12863903525290563,False,False,False,False,False
Albion,2015-05-22,Friday,3.464101615137755,19.8,16.60865837081615,22.402883689833214,18.383698863028446,11.523274240260077,19.70830653309067,8.7104421108581,22.408332896764165,19.59361426068591,25.89936447630903,0.08610510359980846,0.09722086223627671,0.08771677795898221,0.12635907422799209,0.10200516059799178,0.08831653494679476,0.10737388617061125,0.08524518431641728,0.09833010741039244,18.35984171573842,25.89936447630903,8.7104421108581,0.09763029905169633,0.12635907422799209,0.08524518431641728,False,False,False,False,False
Albion,2015-05-26,Tuesday,1.0,13.1,22.705560197560118,29.235241604044226,28.87419285007954,22.82115295068869,45.82354996692572,24.785721084837466,12.550445914575791,27.90274807747327,34.10279162748391,0.10578556863634792,0.12334639605030427,0.11236130941293244,0.11244310785766273,0.12467901955543843,0.10218095558992031,0.11024477728048482,0.10261802300492748,0.1052961761443882,27.64460047485208,45.82354996692572,12.550445914575791,0.1109950370591563,0.12467901955543843,0.10218095558992031,False,False,False,False,False
Albion,2015-05-27,Wednesday,1.0,9.5,62.32164906600746,160.4438647079649,79.41544408849744,95.1377183092395,97.96640526834005,138.1412767438889,166.8904257191505,76.2791372428547,171.05528656888077,0.33104415537664533,0.323822329906586,0.3180687174020805,0.3315976586138168,0.34487631606713615,0.34651552925878015,0.355153792125787,0.21205112574215165,0.28020297869815225,116.40568974609158,171.05528656888077,62.32164906600746,0.3159258447990151,0.355153792125787,0.21205112574215165,False,False,False,False,False
Albion,2015-05-28,Thursday,3.0,7.1,39.85421012100091,67.97731081711427,107.00847495093512,50.473407745771034,59.99495983901313,94.29817652688321,116.36995000558365,42.205601639993404,47.92607258580876,0.22488907847334408,0.22381324878686268,0.2181822322127075,0.17966910874145414,0.21336604371822354,0.2568592472940124,0.2259786864983978,0.16279188454243304,0.2068392127034527,69.56757380356707,116.36995000558365,39.85421012100091,0.21248763810787644,0.2568592472940124,0.16279188454243304,False,False,False,False,False
Albion,2015-05-29,Friday,8.48528137423857,15.3,48.122673473474194,47.572795033724205,36.88859020473882,30.0850809983071,60.291367522697726,29.62540109806529,37.927906752972945,41.554988987502874,48.08933950176051,0.19107504885874696,0.15855171617087443,0.1477015211116305,0.12842368166089752,0.17277404351801376,0.181259471069864,0.1646715243249437,0.14769290753145298,0.18166889907087516,42.2397937303604,60.291367522697726,29.62540109806529,0.16375764592414435,0.19107504885874696,0.12842368166089752,False,False,False,False,False
Albion,2015-06-01,Monday,110.67971810589329,78.6,69.75936062378071,76.45768411170957,43.222118618770494,56.902547327522754,37.85577597671973,40.02975153314476,84.33954578716835,173.3971084041992,41.96048018243769,0.18322918300422572,0.17383867895521787,0.22479168505912955,0.1895173927084819,0.1482795330618731,0.09319914314636717,0.1515490994235322,0.2553026404837729,0.16918844064318317,69.32493028505036,173.3971084041992,37.85577597671973,0.17654397738730931,0.2553026404837729,0.09319914314636717,False,False,False,False,False
Albion,2015-06-02,Tuesday,47.86439177509728,19.5,33.69948408605746,37.68753612647814,52.95641482259854,27.18462390403142,38.80776999032899,39.21245312433286,51.84611867057703,44.22316967042203,54.37321054015928,0.13321535673584234,0.11815686467353649,0.17642902006140038,0.12174504399732497,0.11146670956510538,0.10172119344106945,0.11422695350283785,0.14698879907236023,0.12391611521837252,42.221197881665084,54.37321054015928,27.18462390403142,0.12754067291864996,0.17642902006140038,0.10172119344106945,False,False,False,False,False
