Client.ID,Full_date,Escherichia.coli,Weekday
Albion,2007-07-27,15.43632080516598,Friday
Albion,2007-07-30,19.04940943966505,Monday
Albion,2007-07-31,25.241632276855636,Tuesday
Albion,2007-08-01,28.17001952430989,Wednesday
Albion,2007-08-02,6.273754856543246,Thursday
Albion,2007-08-03,51.63487193748039,Friday
Albion,2007-08-06,20.593931144878578,Monday
Albion,2007-08-07,96.19002027237543,Tuesday
Albion,2007-08-08,20.284230328015898,Wednesday
Albion,2007-08-09,49.198373956869744,Thursday
Albion,2007-08-10,31.360803561133448,Friday
Albion,2007-08-13,748.7468731153406,Monday
Albion,2007-08-14,2419.6,Tuesday
Albion,2007-08-15,14.135062787267694,Wednesday
Albion,2007-08-16,41.79952152836202,Thursday
Albion,2007-08-17,22.100452484055616,Friday
Albion,2007-08-20,354.9505881105144,Monday
Albion,2007-08-21,366.9157396460392,Tuesday
Albion,2007-08-22,36.84725227204871,Wednesday
Albion,2007-08-23,9.669539802906858,Thursday
Albion,2007-08-24,52.45798318654654,Friday
Albion,2007-08-25,473.64932175608567,Saturday
Albion,2007-08-26,62.75523882513714,Sunday
Albion,2007-08-27,212.7312388907656,Monday
Albion,2007-08-28,17.130674242422568,Tuesday
Albion,2007-08-29,55.333172690529864,Wednesday
Albion,2007-08-30,474.43170214478715,Thursday
Albion,2007-08-31,76.2196824973707,Friday
Albion,2008-05-27,129.173952482689,Tuesday
Albion,2008-05-28,45.092904098095076,Wednesday
Albion,2008-05-29,15.231546211727816,Thursday
Albion,2008-05-30,18.698930450696906,Friday
Albion,2008-06-02,2.932575659723036,Monday
Albion,2008-06-03,97.26571852405142,Tuesday
Albion,2008-06-04,92.92330170629971,Wednesday
Albion,2008-06-05,20.9215200212604,Thursday
Albion,2008-06-06,29.14789872357869,Friday
Albion,2008-06-09,13.19090595827292,Monday
Albion,2008-06-10,1.414213562373095,Tuesday
Albion,2008-06-11,2.4899799195977463,Wednesday
Albion,2008-06-12,65.07380425332454,Thursday
Albion,2008-06-13,17.215690517664402,Friday
Albion,2008-06-16,1.0,Monday
Albion,2008-06-17,6.704476116744694,Tuesday
Albion,2008-06-18,2.4899799195977463,Wednesday
Albion,2008-06-19,20.75861267040743,Thursday
Albion,2008-06-20,2.5514701644346154,Friday
Albion,2008-06-23,38.13069629576675,Monday
Albion,2008-06-24,30.34056690307549,Tuesday
Albion,2008-06-25,2.0,Wednesday
Albion,2008-06-26,2.4899799195977463,Thursday
Albion,2008-06-27,2.0,Friday
Albion,2008-06-30,154.9599948373773,Monday
Albion,2008-07-01,11.256997823576231,Tuesday
Albion,2008-07-02,3.5496478698597698,Wednesday
Albion,2008-07-03,672.3558879046127,Thursday
Albion,2008-07-04,48.09989604978372,Friday
Albion,2008-07-07,9.345052166788584,Monday
Albion,2008-07-08,3.5496478698597698,Tuesday
Albion,2008-07-09,5.508175741568165,Wednesday
Albion,2008-07-10,10.573551910309043,Thursday
Albion,2008-07-11,820.5124496313265,Friday
Albion,2008-07-12,46.594742192655175,Saturday
Albion,2008-07-14,5.366563145999495,Monday
Albion,2008-07-15,10.322790320451153,Tuesday
Albion,2008-07-16,1.760681686165901,Wednesday
Albion,2008-07-17,131.82879048220082,Thursday
Albion,2008-07-18,2.4899799195977463,Friday
Albion,2008-07-21,18.141664752717702,Monday
Albion,2008-07-22,134.2223900845161,Tuesday
Albion,2008-07-23,295.0022203306273,Wednesday
Albion,2008-07-24,15.744840424723268,Thursday
Albion,2008-07-25,7.317786550590282,Friday
Albion,2008-07-28,8.549853799919621,Monday
Albion,2008-07-29,73.53686150496226,Tuesday
